,مصارفات روزانه دفتر ,,,,,,,,,,
مجموع,مجموع افغانی + دالری,نر خ اسعار دالری,مبلغ دالری,مبلغ افغانی,تفصیلات ,تاریخ,شماره,,,,
$136.4,$136.4,66,,"AFN 9,000",پرداخت و تصفیه حساب ذکریا نلدوان بابت ترمیم کاری خانه گزرگاه,5-Jun-25,1,,,,
$257.6,$121.2,66,,"AFN 8,000",پرداخت برای تمیم کراکری توسط حاجی صبغت الله,5-Jun-25,2,,,,
$338.3,$80.7,66,,"AFN 5,328",پرداخت برای خبازی عصر بابت خریداری نان خشک به دفتر کارته سه ماه آپریل 2025,5-Jun-25,3,,,,
$377.3,$39.0,66,,"AFN 2,574",پرداخت برای خبازی عصر بابت خریداری نان خشک به دفتر کارته سه ماه می 2025,5-Jun-25,4,,,,
$680.3,$303.0,66,,"AFN 20,000",پرداخت برای اجرت سردار بابت رنگمالی خانه گزرگاه,5-Jun-25,5,,,,
$937.9,$257.6,66,,"AFN 17,000",پرداخت برای اجرت رنگمالی سردار بابت خانه گزرگاه,31-Jul-25,6,,,,
$980.3,$42.4,66,,"AFN 2,800","پرداخت برای اجرت رنگمالی سردار بابت تعمیر واحد های 29,28,09  تعمیر للندر 2",31-Jul-25,7,,,,
"$1,022.8",$42.4,66,,"AFN 2,800",پرداخت برای اجرت چهار روزه  رنگمالی سردار رهنما و راه زینه جایداد پهلوی کافتریا ,31-Jul-25,8,,,,
"$1,068.2",$45.5,66,,"AFN 3,000",پرداخت برای اجرت رنگمالی داخل دفتر کارته سه,31-Jul-25,9,,,,
"$1,116.3",$48.1,66,,"AFN 3,177",پرداخت برای خبازی عصر بابت خریداری نان خشک به دفتر کارته سه ماه جون 2025,31-Jul-25,10,,,,
"$1,616.3",$500.0,66.6,$500.00,,پرداخت تعرفه پوهنتون کابل بابت زمین کارته پروان حاجی زیور,28-Oct-25,11,,,,
"$1,671.8",$55.4,66.5,,"AFN 3,686",پرداخت تعرفه صفایی جایداد تعمیر للندر 1 بابت سال 1403 و پرداخت فیس مهندسی بابت صفایی جایداد تعمیر للندر 1,19-Oct-25,12,,,,
"$2,122.9",$451.1,66.5,,"AFN 30,000",پرداخت برای شرکت لابرتواری BMGS بابت زمین کارته پروان حاجی زیور,19-Oct-25,,,,,
"$2,125.4",$2.5,64,,AFN 160,خریداری بادنجان سیاه 9 کیلو به دفتر,28-Oct-25,13,,,,
"$2,132.7",$7.3,64,,AFN 470,"خریداری کچالو,نمک,مصاله قورمه و غیره به دفتر",28-Oct-25,14,,,,
"$2,141.3",$8.6,64,,AFN 550,خریداری ROSI OIL به للندر 3 و 1 ,28-Oct-25,15,,,,
"$4,141.3","$2,000.0",64,"$2,000.00",,پرداخت برای ریس هارون بابت سهم باقی مانده واحد بفروش رسیده نمبر 05 تعمیر للندر2 بدست نعمیم به هدایت ریس هارون به دفتر,28-Oct-25,16,,,,
"$4,261.3",$120.0,65,,"AFN 7,800","پرداخت اجرت سه  روزه ذکریا نلدوان بابت ترمیم کاری سیستم  آبرسانی زمین گل باغ , ترمیم کار خانه بی بی حاجی , ترمیم کار خانه پل سرخ و غیره",30-Oct-25,17,,,,
"$4,271.3",$10.0,65,,AFN 650,پرداخت برای خریداری گوشت ماهی به دفتر,4-Nov-25,18,,,,
"$4,283.7",$12.3,65,,AFN 800,پرداخت برای انتقال کثافت تعمیر للندر 1,4-Nov-25,19,,,,
"$4,385.1",$101.5,65,,"AFN 6,595",پرداخت تعرفه صفایی یک از واحد های گذرگاه همراه با کمیشن بانکی بابت سال 1404,5-Nov-25,20,,,,
"$4,413.5",$28.4,65,,"AFN 1,845","پرداخت برای خبازی عبدالمطلب بابت خریداری نان خشک به دفتر للندر 1,للندر1,للندر2",5-Nov-25,21,,,,
"$4,547.5",$134.0,65,,"AFN 8,713",پرداخت تعرفه صفایی جایداد دارالامان ( عین الدین ولد غوث الدین) همراه کمیشن بانکی بابت سال 1404,5-Nov-25,22,,,,
"$4,573.6",$26.1,66.4,,"AFN 1,730","خریداری کچالو, شلغم, زردک, مرچ تازه ,سیر و پیاز  به دفتر",5-Nov-25,23,,,,
"$4,799.5",$225.9,66.4,,"AFN 15,000",خریداری بخاری همره با پیپ به دفتر,5-Nov-25,24,,,,
"$4,802.2",$2.7,66.4,,AFN 180,خریداری یک کیلو کشمش و مرچ سیاه به دفتر,5-Nov-25,25,,,,
"$4,805.2",$3.0,66.4,,AFN 200,خریداری روغن مایع به دفتر ,5-Nov-25,26,,,,
"$4,810.7",$5.4,66.3,,AFN 360,خریداری کچالو و روغن به دفتر ,5-Nov-25,27,,,,
"$5,075.7",$265.0,66.5,$265.00,,پرداخت و تصفیه حساب باقیمانده خریداری اجناس به لفت تعمیر للندر کارته چهار,8-Nov-25,28,,,,
"$5,114.9",$39.2,66.3,,"AFN 2,600",پرداخت برای مبلایل تبدیلی جنراتور تعمیر کارته سه للندر 1,9-Nov-25,29,,,,
"$5,720.9",$606.1,66,,"AFN 40,000",پرداخت و تصفیه حساب شرکت BMGS بابت تست جایداد حاجی زیور کارته پروان,9-Nov-25,30,,,,
"$5,775.0",$54.1,66.4,,"AFN 3,590","خریداری رنگ 85 % برس, لور کلان و غیره به منزل دهم واحد 19 A تعمیر گذرگاه للندر 3",11-Nov-25,31,,,,
"$5,814.0",$39.0,66.4,,"AFN 2,590","خریداری مواد بهداشتی از قبیل پمپرز, بوی گیر, شامپو, کاغذ تشناب و غیره به خانه کارته سه ",11-Nov-25,32,,,,
"$5,965.5",$151.5,66,,"AFN 10,000",پرداخت برای گل احمد ولد نور احمد بدست حسین پسرش به هدایت حاجی صاحب صبغت الله بخاطری وفات مادرش,13-Nov-25,33,,,,
"$5,971.1",$5.6,66.18,,AFN 369,پرداخت برای خبازی عبدالمطلب بابت خریداری نان خشک به دفتر للندر 1,16-Nov-25,34,,,,
"$5,976.4",$5.3,66.18,,AFN 351,پرداخت برای خبازی عبدالمطلب بابت خریداری نان خشک به دفتر للندر 2,16-Nov-25,35,,,,
"$5,984.8",$8.4,66.18,,AFN 558,پرداخت برای خبازی عبدالمطلب بابت خریداری نان خشک به للندر 3,16-Nov-25,36,,,,
"$5,999.7",$14.9,66.4,,AFN 990,خریداری گاز مایع به آشپزخانه تعمیر للندر 1 کارته سه,17-Nov-25,37,,,,
"$6,440.5",$440.7,63,,"AFN 27,765",پرداخت برای سادات الله بابت فیس کاردان مربوط خانه,18-Nov-25,38,,,,
"$6,493.8",$53.3,65,,"AFN 3,465",پرداخت برای تصفیه مکمل حساب فیض الله نجار بابت تعمیر للندر 3 گزرگاه,19-Nov-25,39,,,,
"$6,647.6",$153.8,65,,"AFN 10,000",پرداخت برای سفر برقی  بابت حساب باقی مانده تعمیر للندر 3 گزرگاه,20-Nov-25,40,,,,
"$6,649.4",$1.8,66.3,,AFN 120,خریدری آچار خورد به دفتر,22-Nov-25,41,,,,
"$6,853.0",$203.6,66.3,,"AFN 13,500",پرداخت فیس مکتب استعداد خرد اطفال خانه,22-Nov-25,42,,,,
"$7,063.7",$210.6,65,,"AFN 13,690","پرداخت بل برق دفتر کارته سه, واحد نمبر 3, 4,7,22 بابت ماه میزان سال 1404",23-Nov-25,43,,,,
"$7,161.0",$97.4,65,,"AFN 6,328","پرداخت بل برق مرکز گرمی, لفتA,B,واتر پمپ تعمیر للندر 3 بابت ماه میزان سال 1404",23-Nov-25,44,,,,
"$7,384.3",$223.3,65,,"AFN 14,515",پرداخت بل برق مصرف تعمیر للندر 2 بابت ماه میزان سال 1404,23-Nov-25,45,,,,
"$7,395.1",$10.8,65,,AFN 700,پرداخت برای اجرت یک روزه ذکریا نلدوان بابت ترمیم کاری وال های تاکری آب للندر 3 و وصل نمودن پمپ فشار واحد A19 للندر 3,23-Nov-25,46,,,,
"$7,520.2",$125.1,65,,"AFN 8,134",پرداخت بل برق میتر سه فازه تعمیر کارته سه بابت ماه میزان سال 1404,23-Nov-25,47,,,,
"$7,528.4",$8.2,65,,AFN 530,خریداری فیوز 2/63 و 2/6 امپیر به واحد نمبر 22 کارته سه,23-Nov-25,48,,,,
"$7,550.2",$21.8,65,,"AFN 1,420",خریداری پاور سپلای به کمبره های تعمیر للندر 3 گزرگاه ,23-Nov-25,49,,,,
"$7,561.0",$10.8,65,,AFN 700,پرداخت برای اجرت یک روزه ذکریا نلدوان بابت ترمیم کاری وال های تاکری آب للندر 3 و وصل نمودن پمپ فشار واحد A19 للندر 3,23-Nov-25,50,,,,
"$7,704.3",$143.3,65,,"AFN 9,316","پرداخت بل برق جاوید الله بابت 9,2,2,9,9,9,15 سال 1404",23-Nov-25,51,,,,
"$8,204.3",$500.0,64,$500.00,,پرداخت برای وکیل تعمیر للندر 3 کاکا صدیق بابت خریداری یک پایه جنراتور به تعمیر للندر 3 به هدایت حاجی صبغت الله,24-Nov-25,52,,,,
"$18,204.3","$10,000.0",65,"$10,000.00",,"پرداخت برای خانی گل توسط حاجی صبغت الله بخاطر اجرا حواله برای میثاق ""قانون"" مزار شریف که بتاریخ 2 سپتمبر حواله گردیده بود. ",25-Nov-25,53,,,,
"$18,287.6",$83.3,66,,"AFN 5,500",پرداخت فیس مکتب طله به مکتب صوفیا,26-Nov-25,54,,,,
"$18,299.0",$11.4,66,,AFN 750,خریداری گوشت سرخی به دفتر,26-Nov-25,55,,,,
"$18,450.5",$151.5,66,,"AFN 10,000",برداشت حاجی صبغت الله از دفتر,27-Nov-25,56,,,,
"$18,521.3",$70.8,66,,"AFN 4,670",پرداخت برای خریداری شیر تازه به خانه,27-Nov-25,57,,,,
"$19,142.5",$621.2,66,,"AFN 41,000",پرداخت برای تصفیه مکمل حساب احمد بابت زمین گل باغ بدست عبدالباقی ولد امام به گفته حاجی احمد,27-Nov-25,58,,,,
"$19,242.5",$100.0,66.2,$100.00,,برشت حاجی عاشق الله از دفتر,28-Nov-25,59,,,,
"$19,243.4",$0.9,66,,AFN 60,خریداری گاز به دفتر,30-Nov-25,60,,,,
"$19,546.4",$303.0,66,,"AFN 20,000",پرداخت برای خیاطی لباس بابت خرید و تهیه لباس به خانه,30-Nov-25,61,,,,
"$29,546.4","$10,000.0",66,"$10,000.00",AFN 0,پرداخت برای احمد پوپل نعمتی از پول احمد نبی نعمتی,30-Nov-25,62,,,,
"$29,758.6",$212.1,66,,"AFN 14,000",پرداخت معاش مطیع الله ولد محمد یونس بابت ماه عقرب سال 2025,30-Nov-25,63,,,,
"$29,814.1",$55.6,63,,"AFN 3,500",خریداری مین سوچ 160 - 200 A اصل و کرایه حمل تعمیر للندر 2,2-Dec-25,64,,,,
"$29,820.5",$6.3,63,,AFN 400,پرداخت مزد دو روزه زکریا نلدوان بابت خانه کارته سه و للندر 2,3-Dec-25,65,,,,
"$29,828.2",$7.7,63,,AFN 486,پرداخت برای خبازی عبدلمطلب بغلانی بابت خریداری نان خشک به تعمیر للندر 2,3-Dec-25,66,,,,
"$29,836.7",$8.6,66.12,,AFN 567,پرداخت برای خبازی عبدالمطب بغلانی به للندر 1,3-Dec-25,67,,,,
"$29,846.3",$9.5,66.12,,AFN 630,پرداخت برای خبازی عبدالمطب بغلانی به للندر 3,3-Dec-25,68,,,,
"$29,876.8",$30.6,66.12,,"AFN 2,020","وال کاک زیر کمود,مسلم شاور,نیچه بایلر و غیره به L3",3-Dec-25,69,,,,
"$29,998.0",$121.2,66,,"AFN 8,000",پرداخت برای گل احمد ار طرف دفتر,4-Dec-25,70,,,,
"$30,149.6",$151.5,66,,"AFN 10,000",پراخت فعلی برای ذکریا نلدوان بابت تعمیر للندر 3,4-Dec-25,71,,,,
"$30,158.8",$9.2,65,,AFN 600,خریداری گاز بابت دفتر ,14-Dec-25,72,,,,
"$30,166.3",$7.5,64,,AFN 480,خریداری چای به دفتر,15-Dec-25,73,,,,
"$30,187.4",$21.1,64,,"AFN 1,350","خریداری خامه, سینه مرغ و مسکه به دفتر",15-Dec-25,74,,,,
"$30,414.0",$226.6,66.2,,"AFN 15,000",پرداخت حاجی صبغت الله به خاطری خریداری برده به خانه,15-Dec-25,75,,,,
"$30,420.9",$6.9,65,,AFN 450,خریداری از فروشگاه مهب زاده به دفتر,15-Dec-25,76,,,,
"$30,571.9",$151.1,66.2,,"AFN 10,000",پرداخت حاجی صاحب کلان از دفتر ,15-Dec-25,77,,,,
"$30,722.8",$150.8,66.3,,"AFN 10,000",پرداخت برای سفر برقی  مربوط تعمیر گذرگاه للندر 3,18-Dec-25,78,,,,
"$30,724.0",$1.2,66.38,,AFN 80,خریداری پل برمه 10 ملی بابت دفتر,24-Dec-25,79,یکیش موجود است,,,
"$30,734.5",$10.5,66.38,,AFN 700,خریداری سینه مرغ بابت دفتر ,24-Dec-25,80,,,,
"$30,735.7",$1.2,66.38,,AFN 80,خریداری پل برمه 10 میلی بابت دفتر,24-Dec-25,81,,,,
"$30,740.3",$4.5,66.38,,AFN 300,خریداری کچالو بابت دفتر,24-Dec-25,82,,,,
"$30,742.2",$2.0,66.38,,AFN 130,خریداری کشمش پلوی بابت دفتر,24-Dec-25,83,,,,
"$30,744.3",$2.1,66,,AFN 140,خریداری پیاز و نمک بابت دفتر,24-Dec-25,84,,,,
"$30,755.6",$11.3,66.38,,AFN 750,خریداری سه ساکته بابت دفتر,24-Dec-25,85,,,,
"$30,761.7",$6.0,66.38,,AFN 400,خریداری جوس مالته بابت دفتر,24-Dec-25,86,,,,
"$30,762.4",$0.8,66,,AFN 50,خریداری نمک بابت دفتر,25-Dec-25,87,,,,
"$30,776.7",$14.2,66,,AFN 940,"خریداری سیر, زنجفیل, رومی بابت دفتر",25-Dec-25,88,,,,
"$30,792.1",$15.5,66,,"AFN 1,020",خریداری گاز بابت دفتر,25-Dec-25,89,,,,
"$30,798.9",$6.8,66,,AFN 450,خریداری یک بسته دستمال کاغذی بابت دفتر,25-Dec-25,90,,,,
"$30,802.6",$3.6,66,,AFN 240,خریداری پلاستک سیاه بابت دفتر,25-Dec-25,91,,,,
"$30,804.8",$2.3,66,,AFN 150,خریداری جبلک بابت دفتر,25-Dec-25,92,,,,
"$30,817.0",$12.1,66,,AFN 800,"خریداری باطله دانی, جالی و پاس پاس بابت دفتر",25-Dec-25,93,,,,
"$30,873.2",$56.2,66,,"AFN 3,710","خریداری ترموز, گیلاس, قندانی بابت دفتر",25-Dec-25,94,,,,
"$30,880.6",$7.4,66,,AFN 490,"خریداری اسپره, جوراب, کراچی کرایی بابت دفتر",25-Dec-25,95,,,,
"$30,884.8",$4.2,66,,AFN 280,"خریداری 2 کیلو رومی, زنجفیل, سیر, نعنا و ماست بابت دفتر",25-Dec-25,96,,,,
"$30,888.6",$3.8,66.06,,AFN 250,خریداری آرپیک کلان و پودر گل رنک برای شستن ظروف به دفتر,27-Dec-25,97,,,,
"$31,408.6",$520.0,66.06,,"AFN 34,350","خریداری لوازم دفتر ار قبیل کرایی, سطل ,کاسه, تشت, کفگیر, کارد, ترشک,دیگ,طعام بخش, مکسر و چاینک بابت دفتر ",27-Dec-25,98,,,,
"$31,423.6",$15.0,66.06,,AFN 990,خریداری کردیت به دفتر,27-Dec-25,99,,,,
"$31,426.3",$2.7,66.06,,AFN 180,خریداری نیم سیر بوره به دفتر,27-Dec-25,100,,,,
"$31,429.9",$3.6,66.06,,AFN 240,خریداری قلم ریزی به دفتر,27-Dec-25,101,,,,
"$31,438.3",$8.3,66.06,,AFN 550,خریداری چاکلیت آیدین دار و هیل به دفتر,27-Dec-25,102,,,,
"$31,439.8",$1.5,66.06,,AFN 100,خریداری زنجفیل به دفتر,27-Dec-25,103,,,,
"$31,725.9",$286.1,66.05,,"AFN 18,900","خریداری دیگ کلان المونیم , دیگ کلان متوسط صاف , چسکش چوبی , مثاله سوپ , شیر صاف , شیر صافی چوبی , ساطول وغیره به دفتر",27-Dec-25,104,,,,
"$31,737.0",$11.1,66.06,,AFN 730,خریداری آش به دفتر,27-Dec-25,105,,,,
"$31,744.6",$7.6,66.06,,AFN 500,خریداری گاز مایه به دفتر,27-Dec-25,106,,,,
"$31,767.2",$22.7,66.1,,"AFN 1,500",پرداخت برای نوید الله ولد عصمت الله  بابت هفته سوم دسمبر 2025,27-Dec-25,107,,,,
"$31,789.9",$22.7,66.1,,"AFN 1,500",پرداخت برای انیل ولد عصمت الله بابت هفته سوم دسمبر 2025,27-Dec-25,108,,,,
"$31,793.3",$3.3,66.06,,AFN 220,"خریداری دلمه, نوش پیاز, زردک, کرم, رومی به دفتر",27-Dec-25,109,,,,
"$31,794.8",$1.5,66.06,,AFN 100,خریداری گاز مایه به دفتر,27-Dec-25,110,,,,
"$31,799.3",$4.5,66.06,,AFN 300,"خریداری مبلایل, کتابچه, جارو به دفتر",27-Dec-25,111,,,,
"$31,802.4",$3.0,66.06,,AFN 200,خریداری مایح ظرف شویی به دفتر,27-Dec-25,112,,,,
"$31,809.9",$7.6,66.06,,AFN 500,خریداری گاز برای ایزوگام کاری تشناب به دفتر,27-Dec-25,113,,,,
"$31,815.5",$5.6,66.06,,AFN 370,خریداری 2 کیلو بوره به دفتر,27-Dec-25,114,,,,
"$31,816.4",$0.9,66.2,,AFN 60, خریداری تکه صافی قالین  بابت دفتر ,28-Dec-25,115,,,,
"$31,818.7",$2.3,66.2,,AFN 150,پردخت برای جمعه آوری کثافات بابت دفتر ,28-Dec-25,116,,,,
"$31,825.4",$6.7,66.2,,AFN 445,"خریداری لوبیا, رومی, زنجفیل, سیر بابت دفتر ",28-Dec-25,117,,,,
"$31,828.4",$3.0,66.2,,AFN 200,خریداری گاز بابت دفتر ,28-Dec-25,118,,,,
"$31,829.9",$1.5,66.2,,AFN 100,خریداری جوس بابت دفتر ,28-Dec-25,119,,,,
"$31,839.8",$9.8,66.2,,AFN 650,خریداری باطله دانی و کرای رفت و آمد بابت دفتر ,28-Dec-25,120,,,,
"$31,847.5",$7.7,65,,AFN 500,خریداری گاز  به دفتر,28-Dec-25,121,,,,
"$31,850.0",$2.6,66.2,,AFN 170,خریداری مایح ظرف شویی و سیخ ظروف بابت دفتر ,28-Dec-25,122,bill not found,,,
